arxiv_id,title,source_id,image_path,status,summary,error_msg,processed_date
2602.20967,Training-Free Intelligibility-Guided Observation Addition for Noisy ASR,87f5def4-9f44-4fa5-9d60-286975574de9,images/paper_2602.20967_20260226.jpg,completed,【无训练智能可懂度引导观测增强】本文提出了一种无需训练的智能可懂度引导观测添加方法，用于改善噪声环境下的语音识别(ASR)性能。传统语音增强前端虽然能抑制噪声，但会引入损害识别精度的伪影。该方法通过直接优化语音可懂度指标，在增强语音的同时保持ASR系统的识别准确率，避免了传统方法中增强与识别目标不一致的问题。,,2026-02-26 11:04:41
2602.20823,Geometric Analysis of Speech Representation Spaces: Topological Disentanglement and Confound Detecti,23ee3401-d6d9-4584-845f-e6ed4414364d,images/paper_2602.20823_20260226.jpg,completed,【语音表征空间的几何分析】本研究从拓扑学角度分析语音表征空间，探讨病理语音标记与口音变化的几何可分离性。研究使用持久同调等拓扑数据分析方法，评估语音嵌入空间中的纠缠因素，为多语言环境下的临床语音诊断工具提供了理论基础，有助于区分口音变异与真实病理特征。,,2026-02-26 11:08:02
2602.20592,Quantifying Dimensional Independence in Speech: An Information-Theoretic Framework for Disentangled ,4aefbe93-7601-4c98-8315-572dd41ce31d,images/paper_2602.20592_20260226.jpg,completed,【语音维度独立性的信息论量化】本文提出了一种信息论框架，用于量化语音中情感、语言和病理信息的维度独立性。不同于传统通过下游任务间接评估解耦的方法，该研究直接测量不同信息维度之间的统计独立性，为语音表示学习中的解耦评估提供了新的理论工具和指标。,,2026-02-26 11:11:24
2602.19825,DTT-BSR: GAN-based DTTNet with RoPE Transformer Enhancement for Music Source Restoration,7808e040-7070-463c-a96a-2d1349f9eb36,images/paper_2602.19825_20260226.jpg,completed,【DTT-BSR：基于RoPE Transformer的音乐源恢复】本文提出了一种结合生成对抗网络(GAN)和旋转位置编码(RoPE)Transformer的音乐源恢复方法。该方法能够从混合母带录音中恢复原始音轨，同时解决声源分离和母带处理导致的信号退化问题，在音乐制作和音频修复领域具有应用价值。,,2026-02-26 11:15:18
2602.19574,CTC-TTS: LLM-based dual-streaming text-to-speech with CTC alignment,1d82ffdb-0eba-4c75-b4b3-f65b336b7a38,images/paper_2602.19574_20260226.jpg,completed,【CTC-TTS：基于CTC对齐的LLM双流语音合成】本文提出了一种低延迟双流文本转语音(TTS)系统，基于大语言模型(LLM)和CTC(Connectionist Temporal Classification)对齐机制。该方法在保持高自然度的同时实现了低延迟合成，通过双流架构允许文本和音频并行处理，适用于实时对话系统等对延迟敏感的应用。,,2026-02-26 11:18:41
2602.19166,CosyAccent: Duration-Controllable Accent Normalization Using Source-Synthesis Training Data,cf9addde-cef8-4fe5-8859-30011aba1956,images/paper_2602.19166_20260226.jpg,completed,【CosyAccent：时长可控的口音归一化】本文提出了一种源-合成训练数据增强的口音归一化方法，解决了传统系统在输出自然度和内容保持方面的不足。该方法通过引入可变的时长建模策略，在消除口音的同时保留了说话人的个性化特征和语义内容，提高了跨口音语音的可懂度。,,2026-02-26 11:22:36
2602.18952,MDM-ASR: Bridging Accuracy and Efficiency in ASR with Diffusion-Based Non-Autoregressive Decoding,f253113c-f35f-4f80-8c9f-fa5d581ef9da,images/paper_2602.18952_20260226.jpg,completed,【MDM-ASR：基于扩散的非自回归ASR解码】本文提出了一种基于掩码扩散模型(MDM)的序列到序列Transformer ASR系统，平衡了准确性和效率。该方法结合了自回归(AR)模型的高精度和非自回归(NAR)模型的并行解码优势，通过扩散过程逐步细化预测结果，实现了快速且准确的语音识别。,,2026-02-26 11:26:02
2602.18355,Rethinking Flow and Diffusion Bridge Models for Speech Enhancement,e67b2a98-1284-41a4-b3c6-86577f6f5f88,images/paper_2602.18355_20260226.jpg,completed,【重新审视语音增强中的流与扩散桥模型】本文对比分析了流匹配(Flow Matching)和扩散桥(Diffusion Bridge)模型在语音增强中的应用。研究深入探讨了两种生成建模范式在建模干净语音与噪声语音之间转换过程的数学原理和实际性能差异，为生成式语音增强系统的架构选择提供了理论指导。,,2026-02-26 11:31:10
2602.20530,Memory-guided Prototypical Co-occurrence Learning for Mixed Emotion Recognition,9f6bdd76-d03b-45ca-b1a6-c64347975592,images/paper_2602.20530_20260226.jpg,completed,【记忆引导的原型共现学习】本文提出了一种用于混合情绪识别的新型学习方法，利用多模态生理和行为信号。该方法通过记忆机制和原型学习捕捉情绪之间的共现关系，解决了传统模型仅能预测单一情绪的局限，能够同时识别和建模多种混合情绪状态，在人机交互和心理健康监测中有重要应用。,,2026-02-26 11:36:54
2602.18899,[b]=[d]-[t]+[p]: Self-supervised Speech Models Discover Phonological Vector Arithmetic,,,failed,,processing failed,2026-02-26 11:37:14
2602.18777,Mind the Gap: Detecting Cluster Exits for Robust Local Density-Based Score Normalization in Anomalou,,,failed,,processing failed,2026-02-26 11:37:34
2602.18721,ReHear: Iterative Pseudo-Label Refinement for Semi-Supervised Speech Recognition via Audio Large Lan,828343a4-92a2-47d0-8a5c-97851d79e61b,images/paper_2602.18721_20260226.jpg,completed,【ReHear：半监督ASR的迭代伪标签精化】本文提出了一种迭代的伪标签精化方法，用于改善半监督自动语音识别(ASR)中的确认偏差和错误累积问题。该方法通过音频大语言模型(Audio LLM)逐步改进伪标签质量，在标注数据有限的情况下显著提升了ASR系统的性能和鲁棒性。,,2026-02-26 11:41:01
